"State","Country","FraudulentOrders","TotalOrders","TotalRev","TotalFraudulentRevenue","pctFrOrders","pctRevLost"
"Alabama","USA",20,656,591911.952,6549.9,0.03,0.01
"Alaska","USA",3,122,97612.5885,894.15,0.02,0.01
"Alberta","Canada",48,1411,1565667.94,69411.54,0.03,0.04
"Arizona","USA",1082,2289,1253965.1806,67036.76,0.47,0.05
"Arkansas","USA",25,384,337598.2035,11033.74,0.07,0.03
"British Columbia","Canada",76,1649,1885268.8625,90096.35,0.05,0.05
"California","USA",634,10311,9375775.2818,444990.6165,0.06,0.05
"Colorado","USA",53,1192,1214753.9175,42986.75,0.04,0.04
"Connecticut","USA",35,959,903154.1726,18144.59,0.04,0.02
"Delaware","USA",17,227,158740.525,7158.98,0.07,0.05
"District of Columbia","USA",10,403,399798.1,10106.89,0.02,0.03
"Florida","USA",386,6719,6274548.5603,225026.1378,0.06,0.04
"Georgia","USA",109,2261,2006822.2173,70978.46,0.05,0.04
"Guam","USA",0,5,4783.8,NA,0,NA
"Hawaii","USA",17,268,214969.3529,7459.3,0.06,0.03
"Idaho","USA",9,232,215066.674,8866.37,0.04,0.04
"Illinois","USA",133,2671,2357301.4888,97758.146,0.05,0.04
"Indiana","USA",33,894,919416.5325,16886.93,0.04,0.02
"Iowa","USA",16,400,369338.4729,6166.64,0.04,0.02
"Kansas","USA",21,347,286367.59,13292.14,0.06,0.05
"Kentucky","USA",34,525,523666.305,35557.9,0.06,0.07
"Louisiana","USA",30,706,656994.287,14543.95,0.04,0.02
"Maine","USA",11,265,223447.828,4435.79,0.04,0.02
"Manitoba","Canada",10,274,269420.91,4181.45,0.04,0.02
"Maryland","USA",66,1632,1621769.4273,39184.83,0.04,0.02
"Massachusetts","USA",97,2106,1953683.1231,57699.69,0.05,0.03
"Michigan","USA",62,1715,1393824.1862,44003.53,0.04,0.03
"Minnesota","USA",37,932,903034.288,31418.71,0.04,0.03
"Mississippi","USA",12,346,269332.08,4396.14,0.03,0.02
"Missouri","USA",42,808,734741.221,16033.18,0.05,0.02
"Montana","USA",1,177,177968.9,45.98,0.01,0
"Nebraska","USA",17,253,218959.2877,4605.48,0.07,0.02
"Nevada","USA",23,709,636867.6058,15569.4225,0.03,0.02
"New Brunswick","Canada",5,189,179878.32,3336.08,0.03,0.02
"New Hampshire","USA",20,316,286706.315,9916.66,0.06,0.03
"New Jersey","USA",90,2582,2369110.9777,53699.7735,0.03,0.02
"New Mexico","USA",18,301,260778.7585,18190.69,0.06,0.07
"New South Wales","",3,18,9543.8,476.12,0.17,0.05
"New York","USA",1411,8408,6384111.6724,218638.67,0.17,0.03
"Newfoundland and Labrador","Canada",10,175,173095.08,14034.42,0.06,0.08
"none","USA",0,2,366.63,NA,0,NA
"North Carolina","USA",71,1658,1565563.4086,53411.04,0.04,0.03
"North Dakota","USA",4,116,121653.9,781.05,0.03,0.01
"Northwest Territories","Canada",1,26,49992.69,305.54,0.04,0.01
"Nova Scotia","Canada",6,233,269217.45,14254.63,0.03,0.05
"Nunavut","Canada",0,5,6836.52,NA,0,NA
"Ohio","USA",91,1646,1533546.9771,52852.85,0.06,0.03
"Oklahoma","USA",22,462,409892.4512,7862.03,0.05,0.02
"Ontario","Canada",120,4151,4267023.0479,138165.37,0.03,0.03
"Oregon","USA",49,823,704750.9469,17091.44,0.06,0.02
"Pennsylvania","USA",121,2360,2245419.2582,78419.3295,0.05,0.03
"Prince Edward Island","Canada",4,45,32992.04,2924.89,0.09,0.09
"Puerto Rico","USA",7,100,97405.04,2601.97,0.07,0.03
"Québec","Canada",56,761,631689.7,48425.41,0.07,0.08
"Queensland","",0,4,982.95,NA,0,NA
"Rhode Island","USA",16,232,159099.653,7085.04,0.07,0.04
"Saskatchewan","Canada",5,266,279618.93,8477.25,0.02,0.03
"South Australia","",0,1,155.99,NA,0,NA
"South Carolina","USA",23,855,731296.5585,13710.11,0.03,0.02
"South Dakota","USA",4,126,81693.58,847.85,0.03,0.01
"Tennessee","USA",50,1066,1078598.8062,33638.14,0.05,0.03
"Texas","USA",262,5308,5128901.4812,195165.175,0.05,0.04
"U.S. Virgin Islands","USA",0,22,30204.2,NA,0,NA
"Utah","USA",30,500,450700.974,23603.07,0.06,0.05
"Vermont","USA",7,153,158879.97,4291.68,0.05,0.03
"Victoria","",0,5,1800.23,NA,0,NA
"Virginia","USA",63,1875,1887586.6679,46129.19,0.03,0.02
"Washington","USA",73,1528,1496120.6668,50280.61,0.05,0.03
"West Virginia","USA",8,213,180849.4113,5455.58,0.04,0.03
"Wisconsin","USA",20,738,712017.43,8166.88,0.03,0.01
"Wyoming","USA",7,114,122181.09,3783.83,0.06,0.03
"Yukon","Canada",1,12,11245.39,144.98,0.08,0.01
